Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2023,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,19122,6306,6374,0.0618715962923221,0.000685036986233649,0.0610964039670447,0.0626467886175995,0.000395506288406847
2019,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,75725,25234,25241.6666666667,0.252377125407634,5.00260945717439e-05,0.252320515552466,0.252433735262802,2.8882579167502e-05
2019,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,68285,22750,22761.6666666667,0.227581008726105,0.000108416381042424,0.227458324041617,0.227703693410593,6.25942267794087e-05
2020,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,87528,28534,29176,0.288894182865104,0.00553479059709772,0.282630977696465,0.295157388033744,0.00319551284114258
2021,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,63861,21226,21287,0.21038322267789,0.00106013877484786,0.209183562720098,0.211582882635682,0.000612071407036774
2022,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,64892,21373,21630.6666666667,0.212033644490532,0.00240119678623674,0.209316434533146,0.214750854447917,0.00138633161091104
2023,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,64475,20906,21491.6666666667,0.208617137379469,0.00564400002591585,0.202230350108302,0.215003924650635,0.00325856493426877
2019,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,38074,12689,12691.3333333333,0.126893453922756,2.40090437705616e-05,0.126866285132103,0.126920622713408,1.38616278839193e-05
2020,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,37154,12201,12384.6666666667,0.122631271945272,0.00164838877858468,0.120765944443384,0.12449659944716,0.000951697705045024
2021,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,37783,12442,12594.3333333333,0.124473364044899,0.0016838891300523,0.122567864113558,0.126378863976241,0.000972193842521179
2022,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,38851,12765,12950.3333333333,0.126947034918397,0.0017773112990065,0.124935817850843,0.12895825198595,0.00102613115691517
2023,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,55456,17657,18485.3333333333,0.179438300824363,0.00714166707500801,0.171356743744254,0.187519857904471,0.00412324340821856
2019,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,56833,18929,18944.3333333333,0.189413670438932,0.000269495646098605,0.189108707406644,0.18971863347122,0.000155593383820462
2020,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,61508,20153,20502.6666666667,0.203015863123771,0.00423076478827878,0.198228302072565,0.207803424174977,0.00244263318939074
2021,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,53907,17537,17969,0.177586524301405,0.00385928198443451,0.173219335615925,0.181953712986885,0.00222815749259194
2022,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,63843,20769,21281,0.208605242210598,0.00501675495020584,0.202928249561517,0.214282234859679,0.00289642482095973
2020,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,63454,20986,21151.3333333333,0.209434474231166,0.00137764251862583,0.207875524964374,0.210993423497958,0.000795382278975698
2021,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,62665,20482,20888.3333333333,0.206433919407495,0.00550150387875595,0.200208381706614,0.212659457108376,0.00317629474534752
2023,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,66149,21660,22049.6666666667,0.214030978693537,0.00300095431659053,0.210635079199819,0.217426878187256,0.00173260178250931
2019,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,61130,20358,20376.6666666667,0.203734741504573,0.000155999253001867,0.203558211731574,0.203911271277573,9.00662107140087e-05
2021,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,85332,27837,28444,0.281122969568311,0.00627244908019217,0.274025025245054,0.288220913891569,0.00362140016492717
2022,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,83887,27237,27962.3333333333,0.274104435696432,0.00736969764117212,0.265764837739158,0.282444033653707,0.00425489691697687
2022,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,54571,17569,18190.3333333333,0.178309642684042,0.00563621124778825,0.171931669245046,0.184687616123037,0.00325406808112014
2023,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,82560,26578,27520,0.267137246438337,0.0102092867931256,0.255584350860976,0.278690142015697,0.00589433447824513
2023,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,40417,13376,13472.3333333333,0.130776336664294,0.00102213896009963,0.129619677544919,0.131932995783669,0.000590132203762724
2020,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,53331,17520,17777,0.176024207834686,0.00346289837935518,0.172105569424152,0.179942846245221,0.00199930531149703
2019,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,169151,56373,56383.6666666667,0.563748353934263,0.000180229629342705,0.56354440490923,0.563952302959296,0.000104055625016957
2019,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,130896,43608,43632,0.436251646065737,0.000180229629342705,0.436047697040704,0.43645559509077,0.000104055625016957
2020,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,152779,50864,50926.3333333333,0.504263423373702,0.000482458092844076,0.503717470646541,0.504809376100864,0.000278547309776241
2020,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,150196,49910,50065.3333333333,0.495736576626298,0.000482458092844021,0.495190623899136,0.496282529353459,0.000278547309776209
2021,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,152504,50698,50834.6666666667,0.502404420243991,0.000291892678401212,0.502074112583751,0.502734727904232,0.000168524316449421
2022,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,149898,49806,49966,0.4897915667803,0.000699995363601268,0.488999447457551,0.490583686103049,0.000404142511606682
2023,Baseline,Demographics,Partnership status,Partnered,Overall,Overall,share,3,144248,47886,48082.6666666667,0.466734973985084,0.000584565334068488,0.466073476037237,0.467396471932932,0.000337498952983365
2021,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,151044,50268,50348,0.497595579756009,0.000291892678401242,0.497265272095768,0.49792588741625,0.000168524316449438
2022,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,156146,52034,52048.6666666667,0.5102084332197,0.000699995363601265,0.509416313896951,0.511000552542449,0.00040414251160668
2023,Baseline,Demographics,Partnership status,Single,Overall,Overall,share,3,164809,54852,54936.3333333333,0.533265026014916,0.000584565334068488,0.532603528067068,0.533926523962763,0.000337498952983365
2019,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,136922,45636,45640.6666666667,0.456335174682426,5.50434225213522e-05,0.456272887186199,0.456397462178653,3.1779334809821e-05
2019,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,71493,23828,23831,0.238272670185948,1.18967114435377e-05,0.238259207789621,0.238286132582274,6.86856955439782e-06
2020,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72257,24017,24085.6666666667,0.238493120918735,0.00107250604459192,0.237279466077772,0.239706775759698,0.000619211653552648
2020,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,138474,45959,46158,0.457050945215133,0.00288008259069923,0.453791824955437,0.460310065474829,0.00166281645902856
2021,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,145868,48436,48622.6666666667,0.480548334384535,0.00305271003444936,0.477093867782646,0.484002800986423,0.00176248296014721
2022,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,150024,49787,50008,0.490207521506102,0.0032632980819174,0.486514752095062,0.493900290917142,0.001884066026041
2023,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,152469,50626,50823,0.493342924289301,0.0042103167323686,0.48857850239164,0.498107346186962,0.0024308274988066
2019,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,28511,9503,9503.66666666667,0.0950217799797455,1.04867415097211e-05,0.0950099131145997,0.0950336468448913,6.05452303355951e-06
2021,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72561,23827,24187,0.239039683849356,0.00332813219093685,0.235273547737337,0.242805819961374,0.00192149801633605
2022,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72287,23952,24095.6666666667,0.236197583951947,0.00140357723843664,0.234609286786925,0.237785881116969,0.000810355696439825
2023,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72543,24065,24181,0.234722752080052,0.00090317952645147,0.233700708232315,0.23574479592779,0.000521450942723315
2019,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,63121,21038,21040.3333333333,0.210370375151881,3.6580814729146e-05,0.210328980063148,0.210411770240614,2.11199432310483e-05
2020,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,63704,21225,21234.6666666667,0.21026208603593,0.000355908383883388,0.209859337785496,0.210664834286365,0.000205483801241919
2021,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,64188,21338,21396,0.21146054765697,0.000992265397035359,0.210337693656562,0.212583401657379,0.000572884694085915
2022,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,64599,21431,21533,0.211078611108502,0.00115846699685853,0.209767682292834,0.212389539924169,0.000668841232483568
2023,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,64717,21433,21572.3333333333,0.209403755381374,0.00159623614432814,0.207597444140843,0.211210066621906,0.000921587367618064
2020,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,28540,9035,9513.33333333333,0.0941938478302018,0.0039786897097171,0.0896915365833446,0.098696159077059,0.00229709757492716
