Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2019,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,284193,94726,94731,0.947161612180052,2.21094397486695e-05,0.947136592993711,0.947186631366394,1.27648909905261e-05
2020,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,278287,92604,92762.3333333333,0.919208244872491,0.0025660656400975,0.916304468243877,0.922112021501105,0.00148151868806854
2021,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,281967,93882,93989,0.929636551858847,0.000565548782436626,0.928996573164959,0.930276530552735,0.000326519741779651
2022,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,284845,94840,94948.3333333333,0.930957671857435,0.000502521275386794,0.930389015501944,0.931526328212927,0.000290130793618079
2023,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,287350,95627,95783.3333333333,0.930102250280979,0.000890078949465181,0.929095031131674,0.931109469430283,0.000513887321073741
2019,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,15854,5282,5284.66666666667,0.0528383878199476,2.21094397486636e-05,0.0528133686336061,0.052863407006289,1.27648909905228e-05
2020,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,24460,7849,8153.33333333333,0.080791755127509,0.00256606564009754,0.0778879784988946,0.0836955317561234,0.00148151868806856
2021,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,21342,7037,7114,0.070363448141153,0.000565548782436632,0.0697234694472649,0.0710034268350411,0.000326519741779655
2022,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,21125,6976,7041.66666666667,0.0690423281425648,0.000502521275386767,0.0684736717870734,0.0696109844980562,0.000290130793618064
2023,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,21595,7073,7198.33333333333,0.0698977497190213,0.000890078949465221,0.0688905305697167,0.0709049688683259,0.000513887321073765
